username		balance		fee
123456	169189319.318420	0.000000
654321	-733.460000	0.000000
zhangliyang	12435.065000	0.000000
louzifan	0.000000	0.000000
yeshihao	-7.490000	0.000000
temp	0.000000	0.000000
zhangchi	0.000000	0.000000
xioxuanyi	0.000000	0.000000
yangzimo	-15.120000	0.000000
yeqirui	0.000000	0.000000
username		balance		fee
123456	169189319.318420	0.000000
654321	-733.460000	0.000000
zhangliyang	12435.065000	0.000000
louzifan	0.000000	0.000000
yeshihao	-7.490000	0.000000
temp	0.000000	0.000000
zhangchi	0.000000	0.000000
xioxuanyi	0.000000	0.000000
yangzimo	-15.120000	0.000000
yeqirui	0.000000	0.000000
username		balance		fee
123456	169189319.318420	0.000000
654321	-733.460000	0.000000
zhangliyang	12435.065000	0.000000
louzifan	0.000000	0.000000
yeshihao	-7.490000	0.000000
temp	0.000000	0.000000
zhangchi	0.000000	0.000000
xioxuanyi	0.000000	0.000000
yangzimo	-15.120000	0.000000
yeqirui	0.000000	0.000000
username		balance		fee
123456	169189319.318420	0.000000
654321	-733.460000	0.000000
zhangliyang	12435.065000	0.000000
louzifan	0.000000	0.000000
yeshihao	-7.490000	0.000000
temp	0.000000	0.000000
zhangchi	0.000000	0.000000
xioxuanyi	0.000000	0.000000
yangzimo	-15.120000	0.000000
yeqirui	0.000000	0.000000
username		balance		fee
123456	169189319.318420	0.000000
654321	-733.460000	0.000000
zhangliyang	12435.065000	0.000000
louzifan	0.000000	0.000000
yeshihao	-7.490000	0.000000
temp	0.000000	0.000000
zhangchi	0.000000	0.000000
xioxuanyi	0.000000	0.000000
yangzimo	-15.120000	0.000000
yeqirui	0.000000	0.000000
username		balance		fee
123456	169189319.318420	0.000000
654321	-733.460000	0.000000
zhangliyang	12435.065000	0.000000
louzifan	0.000000	0.000000
yeshihao	-7.490000	0.000000
temp	0.000000	0.000000
zhangchi	0.000000	0.000000
xioxuanyi	0.000000	0.000000
yangzimo	-15.120000	0.000000
yeqirui	0.000000	0.000000
username		balance		fee
123456	169189319.318420	0.000000
654321	-733.460000	0.000000
zhangliyang	12558.065000	0.000000
louzifan	0.000000	0.000000
yeshihao	-7.490000	0.000000
temp	0.000000	0.000000
zhangchi	0.000000	0.000000
xioxuanyi	0.000000	0.000000
yangzimo	-15.120000	0.000000
yeqirui	0.000000	0.000000
